MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,COMMON_NAME_USE,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"MORAY, GOLDENTAIL",5011
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"MORAY, GREEN",5012
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,Ogcocephalus,5013
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, BLUE",5014
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, MIDNIGHT",5015
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, PRINCESS",5016
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, QUEEN",5017
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, RAINBOW",5018
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, REDBAND",5019
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, REDFIN",5020
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, REDTAIL",5021
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, STOPLIGHT",5022
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PARROTFISH, STRIPED",5023
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PIPEFISHES, SEAWEED",5024
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,PORCUPINEFISH,5025
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PORGY, JOLTHEAD",5026
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PORGY, SHEEPSHEAD",5027
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,PORKFISH,5028
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,PUDDINGWIFE,5029
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"PUFFER, SHARPNOSE",5030
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"RUNNER, BLUE",5031
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,SCHOOLMASTER,5032
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,SCORPIONFISHES,5033
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,SEAHORSES,5034
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, BLACK",5035
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, BLACKFIN",5036
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, CARDINAL",5037
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, DOG",5038
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, GLASSEYE",5039
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, GRAY",5040
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, LANE",5041
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, MAHOGANY",5042
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, MUTTON",5043
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, QUEEN",5044
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, SILK",5045
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, VERMILION",5046
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SNAPPER, YELLOWTAIL",5047
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SOAPFISH, GREATER",5048
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SOLDIERFISH, BLACKBAR",5049
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SOLDIERFISH, CARDINAL",5050
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SPADEFISH, ATLANTIC",5051
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,SQUIRRELFISH,5052
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SQUIRRELFISH, LONGSPINE",5053
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,SUNSHINEFISH,5054
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"SURGEON, OCEAN",5055
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TANG, BLUE",5056
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TILEFISH, BLACKLINE",5057
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TILEFISH, SAND",5058
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,TOBACCOFISH,5059
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,TOMTATE,5060
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TONGUEFISH, CARIBBEAN",5061
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRIGGERFISH, OCEAN",5062
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRIGGERFISH, QUEEN",5063
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRIGGERFISH, SARGASSUM",5064
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,TRUMPETFISH,5065
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,TRUNKFISH,5066
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRUNKFISH, SMOOTH",5067
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"TRUNKFISH, SPOTTED",5068
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,WENCHMAN,5069
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, CLOWN",5070
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, CREOLE",5071
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, YELLOWCHEEK",5072
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"WRASSE, YELLOWHEAD",5073
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"RAZORFISH, PEARLY",5074
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION WEST OF PUERTO RICO - TOURMALINE BANK,ALL,"RAZORFISH, GREEN",5075
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"SNAPPER, BLACK","SNAPPER, BLACK",5076
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"SNAPPER, BLACK","SNAPPER, BLACK",5077
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"SNAPPER, SILK","SNAPPER, SILK",5078
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"SNAPPER, SILK","SNAPPER, SILK",5079
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"SNAPPER, BLACKFIN","SNAPPER, BLACKFIN",5080
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"SNAPPER, BLACKFIN","SNAPPER, BLACKFIN",5081
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"SNAPPER, VERMILION","SNAPPER, VERMILION",5082
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"SNAPPER, VERMILION","SNAPPER, VERMILION",5083
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"SNAPPER, LANE","SNAPPER, LANE",5084
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"SNAPPER, LANE","SNAPPER, LANE",5085
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"SNAPPER, MUTTON","SNAPPER, MUTTON",5086
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"SNAPPER, MUTTON","SNAPPER, MUTTON",5087
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"GROUPER, RED","GROUPER, RED",5088
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"GROUPER, RED","GROUPER, RED",5089
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"GROUPER, BLACK","GROUPER, BLACK",5090
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"GROUPER, BLACK","GROUPER, BLACK",5091
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"GROUPER, TIGER","GROUPER, TIGER",5092
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"GROUPER, TIGER","GROUPER, TIGER",5093
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"GROUPER, YELLOWFIN","GROUPER, YELLOWFIN",5094
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"GROUPER, YELLOWFIN","GROUPER, YELLOWFIN",5095
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,"GROUPER, YELLOWEDGE","GROUPER, YELLOWEDGE",5096
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,ALL,"GROUPER, YELLOWEDGE","GROUPER, YELLOWEDGE",5097
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,WEST OF 67°10'W. LONGITUDE,"HIND, RED","HIND, RED",5098
CLOSURE,SEASONAL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,CARIBBEAN,WEST OF 67°10'W. LONGITUDE,"HIND, RED","HIND, RED",5099
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,ALL,"AMBERJACK, GREATER",5100
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,ALL,"ANGELFISH, FRENCH",5101
